fare_id,price,currency_type,payment_method,transfers,transfer_duration
412640,5.50,USD,1,,
412641,4.10,USD,1,,
412642,5.45,USD,1,,
412643,5.90,USD,1,,
412644,5.25,USD,1,,
412645,5.20,USD,1,,
412646,5.00,USD,1,,
412647,4.50,USD,1,,
412648,4.35,USD,1,,
412649,3.75,USD,1,,
412650,3.00,USD,1,,
412651,2.40,USD,1,,
412652,2.40,USD,1,,
412653,4.25,USD,1,,
412654,4.25,USD,1,,
412655,4.25,USD,1,,
412656,4.25,USD,1,,
412657,4.50,USD,1,,
412658,4.60,USD,1,,
412659,4.90,USD,1,,
412660,5.10,USD,1,,
412661,5.25,USD,1,,
412662,9.90,USD,1,,
412663,6.05,USD,1,,
412664,6.90,USD,1,,
412665,7.25,USD,1,,
412666,6.10,USD,1,,
412667,6.90,USD,1,,
412668,5.45,USD,1,,
412669,5.75,USD,1,,
412670,11.50,USD,1,,
412671,6.15,USD,1,,
412672,5.25,USD,1,,
412673,3.55,USD,1,,
412674,3.15,USD,1,,
412675,2.80,USD,1,,
412676,2.40,USD,1,,
412677,2.40,USD,1,,
412678,2.40,USD,1,,
412679,2.40,USD,1,,
412680,2.40,USD,1,,
412681,7.10,USD,1,,
412682,2.40,USD,1,,
412683,2.40,USD,1,,
412684,2.40,USD,1,,
412685,3.10,USD,1,,
412686,3.55,USD,1,,
412687,4.10,USD,1,,
412688,4.45,USD,1,,
412689,5.05,USD,1,,
412690,5.50,USD,1,,
412691,4.10,USD,1,,
412692,5.45,USD,1,,
412693,5.90,USD,1,,
412694,5.25,USD,1,,
412695,5.20,USD,1,,
412696,5.00,USD,1,,
412697,4.50,USD,1,,
412698,4.35,USD,1,,
412699,3.75,USD,1,,
412700,3.00,USD,1,,
412701,2.40,USD,1,,
412702,2.40,USD,1,,
412703,4.25,USD,1,,
412704,4.25,USD,1,,
412705,4.25,USD,1,,
412706,4.25,USD,1,,
412707,4.50,USD,1,,
412708,4.60,USD,1,,
412709,4.90,USD,1,,
412710,5.10,USD,1,,
412711,5.25,USD,1,,
412712,9.90,USD,1,,
412713,6.05,USD,1,,
412714,6.90,USD,1,,
412715,7.25,USD,1,,
412716,6.10,USD,1,,
412717,6.90,USD,1,,
412718,5.45,USD,1,,
412719,5.75,USD,1,,
412720,11.50,USD,1,,
412721,6.15,USD,1,,
412722,5.25,USD,1,,
412723,3.55,USD,1,,
412724,3.15,USD,1,,
412725,2.80,USD,1,,
412726,2.40,USD,1,,
412727,2.40,USD,1,,
412728,2.40,USD,1,,
412729,2.40,USD,1,,
412730,2.40,USD,1,,
412731,2.40,USD,1,,
412732,7.10,USD,1,,
412733,2.40,USD,1,,
412734,2.40,USD,1,,
412735,3.10,USD,1,,
412736,3.55,USD,1,,
412737,4.10,USD,1,,
412738,4.45,USD,1,,
412739,5.05,USD,1,,
412740,5.50,USD,1,,
412741,4.10,USD,1,,
412742,5.45,USD,1,,
412743,5.90,USD,1,,
412744,5.25,USD,1,,
412745,5.20,USD,1,,
412746,5.00,USD,1,,
412747,4.50,USD,1,,
412748,4.35,USD,1,,
412749,3.75,USD,1,,
412750,3.00,USD,1,,
412751,2.40,USD,1,,
412752,2.40,USD,1,,
412753,4.25,USD,1,,
412754,4.25,USD,1,,
412755,4.25,USD,1,,
412756,4.25,USD,1,,
412757,4.50,USD,1,,
412758,4.60,USD,1,,
412759,4.90,USD,1,,
412760,5.10,USD,1,,
412761,5.25,USD,1,,
412762,9.90,USD,1,,
412763,6.05,USD,1,,
412764,6.90,USD,1,,
412765,7.25,USD,1,,
412766,6.10,USD,1,,
412767,6.90,USD,1,,
412768,5.80,USD,1,,
412769,6.10,USD,1,,
412770,11.85,USD,1,,
412771,6.50,USD,1,,
412772,4.95,USD,1,,
412773,3.95,USD,1,,
412774,3.70,USD,1,,
412775,3.40,USD,1,,
412776,3.00,USD,1,,
412777,2.85,USD,1,,
412778,2.65,USD,1,,
412779,2.40,USD,1,,
412780,2.40,USD,1,,
412781,2.40,USD,1,,
412782,2.40,USD,1,,
412783,7.10,USD,1,,
412784,2.40,USD,1,,
412785,2.40,USD,1,,
412786,3.00,USD,1,,
412787,3.55,USD,1,,
412788,4.10,USD,1,,
412789,4.75,USD,1,,
412790,5.15,USD,1,,
412791,3.55,USD,1,,
412792,5.15,USD,1,,
412793,6.10,USD,1,,
412794,5.45,USD,1,,
412795,5.55,USD,1,,
412796,5.20,USD,1,,
412797,4.70,USD,1,,
412798,4.50,USD,1,,
412799,4.05,USD,1,,
412800,3.40,USD,1,,
412801,2.45,USD,1,,
412802,2.40,USD,1,,
412803,4.80,USD,1,,
412804,4.80,USD,1,,
412805,4.80,USD,1,,
412806,4.80,USD,1,,
412807,5.05,USD,1,,
412808,5.15,USD,1,,
412809,5.30,USD,1,,
412810,5.40,USD,1,,
412811,5.60,USD,1,,
412812,9.90,USD,1,,
412813,5.70,USD,1,,
412814,6.60,USD,1,,
412815,6.90,USD,1,,
412816,6.30,USD,1,,
