fare_id,rider_category_id,price,expiration_date,commencement_date
412018,5,3.55,,
412019,5,2.00,,
412020,5,4.75,,
412021,5,2.00,,
412022,5,4.10,,
412023,5,3.30,,
412024,5,3.15,,
412025,5,3.05,,
412026,5,2.95,,
412027,5,2.90,,
412028,5,2.85,,
412029,5,2.75,,
412030,5,2.70,,
412031,5,2.70,,
412032,5,2.70,,
412033,5,2.90,,
412034,5,3.00,,
412035,5,3.15,,
412036,5,3.30,,
412037,5,3.50,,
412038,5,3.70,,
412039,5,4.00,,
412040,5,4.20,,
412041,5,3.50,,
412042,5,4.20,,
412043,5,4.45,,
412044,5,4.10,,
412045,5,2.00,,
412046,5,4.00,,
412047,5,3.75,,
412048,5,3.65,,
412049,5,3.40,,
412050,5,3.20,,
412051,5,2.85,,
412052,5,2.65,,
412053,5,2.40,,
412054,5,2.40,,
412055,5,2.40,,
412056,5,2.40,,
412057,5,2.30,,
412058,5,2.25,,
412059,5,2.10,,
412060,5,2.00,,
412061,5,2.00,,
412062,5,6.75,,
412063,5,4.45,,
412064,5,4.90,,
412065,5,5.05,,
412066,5,4.55,,
412067,5,4.95,,
412068,5,2.00,,
412069,5,3.55,,
412070,5,4.75,,
412071,5,2.00,,
412072,5,4.25,,
412073,5,3.45,,
412074,5,3.30,,
412075,5,3.20,,
412076,5,3.10,,
412077,5,3.05,,
412078,5,3.00,,
412079,5,2.90,,
412080,5,2.85,,
412081,5,2.85,,
412082,5,2.85,,
412083,5,3.05,,
412084,5,3.15,,
412085,5,3.35,,
412086,5,3.50,,
412087,5,3.65,,
412088,5,3.85,,
412089,5,4.15,,
412090,5,4.35,,
412091,5,3.65,,
412092,5,4.35,,
412093,5,4.60,,
412094,5,4.30,,
412095,5,2.00,,
412096,5,4.15,,
412097,5,3.90,,
412098,5,3.80,,
412099,5,3.60,,
412100,5,3.35,,
412101,5,3.00,,
412102,5,2.80,,
412103,5,2.65,,
412104,5,2.65,,
412105,5,2.65,,
412106,5,2.65,,
412107,5,2.55,,
412108,5,2.50,,
412109,5,2.35,,
412110,5,2.25,,
412111,5,2.00,,
412112,5,6.90,,
412113,5,4.60,,
412114,5,5.05,,
412115,5,5.20,,
412116,5,4.70,,
412117,5,5.10,,
412118,5,4.75,,
412119,5,4.75,,
412120,5,3.55,,
412121,5,2.75,,
412122,5,7.10,,
412123,5,6.30,,
412124,5,6.20,,
412125,5,6.10,,
412126,5,5.95,,
412127,5,5.95,,
412128,5,5.85,,
412129,5,5.80,,
412130,5,5.75,,
412131,5,5.75,,
412132,5,5.75,,
412133,5,5.90,,
412134,5,6.05,,
412135,5,6.20,,
412136,5,6.35,,
412137,5,6.55,,
412138,5,6.70,,
412139,5,7.00,,
412140,5,7.25,,
412141,5,6.55,,
412142,5,7.20,,
412143,5,7.45,,
412144,5,7.15,,
412145,5,4.95,,
412146,5,7.05,,
412147,5,6.75,,
412148,5,6.70,,
412149,5,6.45,,
412150,5,6.20,,
412151,5,5.90,,
412152,5,5.70,,
412153,5,5.55,,
412154,5,5.55,,
412155,5,5.55,,
412156,5,5.55,,
412157,5,5.50,,
412158,5,5.45,,
412159,5,5.30,,
412160,5,5.20,,
412161,5,5.05,,
412162,5,9.75,,
412163,5,7.50,,
412164,5,7.95,,
412165,5,8.10,,
412166,5,7.55,,
412167,5,7.95,,
412168,5,2.00,,
412169,5,2.00,,
412170,5,2.75,,
412171,5,3.55,,
412172,5,4.45,,
412173,5,3.65,,
412174,5,3.50,,
412175,5,3.40,,
412176,5,3.30,,
412177,5,3.25,,
412178,5,3.20,,
412179,5,3.15,,
412180,5,3.05,,
412181,5,3.05,,
412182,5,3.05,,
412183,5,3.25,,
412184,5,3.35,,
412185,5,3.55,,
412186,5,3.70,,
412187,5,3.85,,
412188,5,4.05,,
412189,5,4.35,,
412190,5,4.55,,
412191,5,3.85,,
412192,5,4.55,,
412193,5,4.80,,
412194,5,4.50,,
412195,5,2.30,,
412196,5,4.35,,
412197,5,4.10,,
412198,5,4.00,,
412199,5,3.80,,
412200,5,3.55,,
412201,5,3.20,,
412202,5,3.00,,
412203,5,2.90,,
412204,5,2.90,,
412205,5,2.90,,
412206,5,2.90,,
412207,5,2.85,,
412208,5,2.80,,
412209,5,2.65,,
412210,5,2.55,,
412211,5,2.45,,
412212,5,7.10,,
412213,5,4.80,,
412214,5,5.25,,
412215,5,5.40,,
412216,5,4.90,,
412217,5,5.30,,
412218,5,4.10,,
412219,5,4.25,,
412220,5,7.10,,
412221,5,4.45,,
412222,5,3.55,,
412223,5,3.20,,
412224,5,3.05,,
412225,5,2.95,,
412226,5,2.85,,
412227,5,2.80,,
412228,5,2.75,,
412229,5,2.65,,
412230,5,2.60,,
412231,5,2.60,,
412232,5,2.60,,
412233,5,2.45,,
412234,5,2.35,,
412235,5,2.15,,
412236,5,1.20,,
412237,5,2.20,,
412238,5,2.35,,
412239,5,2.65,,
412240,5,2.90,,
412241,5,1.20,,
412242,5,1.20,,
412243,5,4.25,,
412244,5,3.90,,
412245,5,3.95,,
412246,5,3.80,,
412247,5,3.55,,
412248,5,3.45,,
412249,5,3.25,,
412250,5,3.00,,
412251,5,2.65,,
412252,5,2.70,,
412253,5,3.70,,
412254,5,3.70,,
412255,5,3.70,,
412256,5,3.70,,
412257,5,3.75,,
412258,5,3.75,,
412259,5,3.85,,
412260,5,3.90,,
412261,5,4.00,,
412262,5,6.05,,
412263,5,3.15,,
412264,5,3.60,,
412265,5,3.75,,
412266,5,4.35,,
412267,5,4.75,,
412268,5,3.30,,
412269,5,3.45,,
412270,5,6.30,,
412271,5,3.65,,
412272,5,3.20,,
412273,5,3.55,,
412274,5,1.20,,
412275,5,1.20,,
412276,5,1.20,,
412277,5,1.20,,
412278,5,1.20,,
412279,5,1.65,,
412280,5,1.75,,
412281,5,1.75,,
412282,5,1.75,,
412283,5,1.95,,
412284,5,2.10,,
412285,5,2.30,,
412286,5,2.45,,
412287,5,2.60,,
412288,5,2.80,,
412289,5,3.10,,
412290,5,3.30,,
412291,5,2.60,,
412292,5,3.30,,
412293,5,3.30,,
412294,5,3.00,,
412295,5,3.15,,
412296,5,2.90,,
412297,5,2.65,,
412298,5,2.55,,
412299,5,2.30,,
412300,5,2.05,,
412301,5,1.65,,
412302,5,1.85,,
412303,5,2.90,,
412304,5,2.90,,
412305,5,2.90,,
412306,5,2.90,,
412307,5,2.95,,
412308,5,2.95,,
412309,5,3.05,,
412310,5,3.10,,
412311,5,3.20,,
412312,5,5.85,,
412313,5,3.55,,
412314,5,4.00,,
412315,5,4.15,,
412316,5,3.40,,
412317,5,3.80,,
412318,5,3.15,,
412319,5,3.30,,
412320,5,6.20,,
412321,5,3.50,,
412322,5,3.05,,
412323,5,1.20,,
412324,5,3.55,,
412325,5,1.20,,
412326,5,1.20,,
412327,5,1.20,,
412328,5,1.20,,
412329,5,1.45,,
412330,5,1.55,,
412331,5,1.55,,
412332,5,1.55,,
412333,5,1.85,,
412334,5,1.95,,
412335,5,2.15,,
412336,5,2.30,,
412337,5,2.50,,
412338,5,2.65,,
412339,5,2.95,,
412340,5,3.20,,
412341,5,2.45,,
412342,5,3.15,,
412343,5,3.20,,
412344,5,2.90,,
412345,5,3.05,,
412346,5,2.75,,
412347,5,2.50,,
412348,5,2.40,,
412349,5,2.20,,
412350,5,1.95,,
412351,5,1.45,,
412352,5,1.65,,
412353,5,2.75,,
412354,5,2.75,,
412355,5,2.75,,
412356,5,2.75,,
412357,5,2.80,,
412358,5,2.85,,
412359,5,2.90,,
412360,5,2.95,,
412361,5,3.05,,
412362,5,5.70,,
412363,5,3.45,,
412364,5,3.90,,
412365,5,4.05,,
412366,5,3.30,,
412367,5,3.70,,
412368,5,3.05,,
412369,5,3.20,,
412370,5,6.10,,
412371,5,3.40,,
412372,5,2.95,,
412373,5,1.20,,
412374,5,1.20,,
412375,5,3.55,,
412376,5,1.20,,
412377,5,1.20,,
412378,5,1.20,,
412379,5,1.25,,
412380,5,1.40,,
412381,5,1.40,,
412382,5,1.40,,
412383,5,1.70,,
412384,5,1.85,,
412385,5,2.05,,
412386,5,2.20,,
412387,5,2.40,,
412388,5,2.55,,
412389,5,2.85,,
412390,5,3.05,,
412391,5,2.35,,
412392,5,3.05,,
412393,5,3.10,,
412394,5,2.80,,
412395,5,2.95,,
412396,5,2.65,,
412397,5,2.40,,
412398,5,2.30,,
412399,5,2.10,,
412400,5,1.80,,
412401,5,1.30,,
412402,5,1.50,,
412403,5,2.65,,
412404,5,2.65,,
412405,5,2.65,,
412406,5,2.65,,
412407,5,2.70,,
412408,5,2.75,,
412409,5,2.85,,
412410,5,2.85,,
412411,5,2.95,,
412412,5,5.60,,
412413,5,3.35,,
412414,5,3.80,,
412415,5,3.95,,
412416,5,3.20,,
412417,5,3.60,,
412418,5,2.95,,
412419,5,3.10,,
412420,5,5.95,,
412421,5,3.30,,
412422,5,2.85,,
412423,5,1.20,,
412424,5,1.20,,
412425,5,1.20,,
412426,5,3.55,,
412427,5,1.20,,
412428,5,1.20,,
412429,5,1.20,,
412430,5,1.20,,
412431,5,1.20,,
412432,5,1.20,,
412433,5,1.50,,
412434,5,1.70,,
412435,5,1.95,,
412436,5,2.10,,
412437,5,2.25,,
412438,5,2.45,,
412439,5,2.75,,
412440,5,2.95,,
412441,5,2.25,,
412442,5,2.95,,
412443,5,3.00,,
412444,5,2.65,,
412445,5,2.80,,
412446,5,2.55,,
412447,5,2.30,,
412448,5,2.20,,
412449,5,1.95,,
412450,5,1.60,,
412451,5,1.20,,
412452,5,1.30,,
412453,5,2.55,,
412454,5,2.55,,
412455,5,2.55,,
412456,5,2.55,,
412457,5,2.60,,
412458,5,2.60,,
412459,5,2.70,,
412460,5,2.75,,
412461,5,2.85,,
412462,5,5.40,,
412463,5,3.20,,
412464,5,3.65,,
412465,5,3.80,,
412466,5,3.10,,
412467,5,3.45,,
412468,5,2.90,,
412469,5,3.05,,
412470,5,5.95,,
412471,5,3.25,,
412472,5,2.80,,
412473,5,1.20,,
412474,5,1.20,,
412475,5,1.20,,
412476,5,1.20,,
412477,5,3.55,,
412478,5,1.20,,
412479,5,1.20,,
412480,5,1.20,,
412481,5,1.20,,
412482,5,1.20,,
412483,5,1.40,,
412484,5,1.60,,
412485,5,1.90,,
412486,5,2.05,,
412487,5,2.20,,
412488,5,2.40,,
412489,5,2.70,,
412490,5,2.90,,
412491,5,2.25,,
412492,5,2.90,,
412493,5,2.95,,
412494,5,2.65,,
412495,5,2.80,,
412496,5,2.50,,
412497,5,2.25,,
412498,5,2.15,,
412499,5,1.90,,
412500,5,1.55,,
412501,5,1.20,,
412502,5,1.25,,
412503,5,2.50,,
412504,5,2.50,,
412505,5,2.50,,
412506,5,2.50,,
412507,5,2.55,,
412508,5,2.60,,
412509,5,2.65,,
412510,5,2.70,,
412511,5,2.80,,
412512,5,5.35,,
412513,5,3.20,,
412514,5,3.65,,
412515,5,3.80,,
412516,5,3.05,,
412517,5,3.45,,
412518,5,2.85,,
412519,5,3.00,,
412520,5,5.85,,
412521,5,3.20,,
412522,5,2.75,,
412523,5,1.20,,
412524,5,1.20,,
412525,5,1.20,,
412526,5,1.20,,
412527,5,1.20,,
412528,5,3.55,,
412529,5,1.20,,
412530,5,1.20,,
412531,5,1.20,,
412532,5,1.20,,
412533,5,1.30,,
412534,5,1.50,,
412535,5,1.80,,
412536,5,2.00,,
412537,5,2.15,,
412538,5,2.35,,
412539,5,2.65,,
412540,5,2.85,,
412541,5,2.15,,
412542,5,2.85,,
412543,5,2.90,,
412544,5,2.60,,
412545,5,2.70,,
412546,5,2.50,,
412547,5,2.25,,
412548,5,2.10,,
412549,5,1.80,,
412550,5,1.45,,
412551,5,1.20,,
412552,5,1.20,,
412553,5,2.40,,
412554,5,2.40,,
412555,5,2.40,,
