fare_id,route_id,origin_id,destination_id,contains_id
412018,,78467,78467,
412019,,78467,78468,
412020,,78467,78470,
412021,,78467,78469,
412022,,78467,78445,
412023,,78467,78462,
412024,,78467,78461,
412025,,78467,78460,
412026,,78467,78459,
412027,,78467,78458,
412028,,78467,78457,
412029,,78467,78443,
412030,,78467,78442,
412031,,78467,78441,
412032,,78467,78421,
412033,,78467,78422,
412034,,78467,78423,
412035,,78467,78424,
412036,,78467,78425,
412037,,78467,78426,
412038,,78467,78427,
412039,,78467,78428,
412040,,78467,78429,
412041,,78467,78444,
412042,,78467,78446,
412043,,78467,78437,
412044,,78467,78436,
412045,,78467,78466,
412046,,78467,78435,
412047,,78467,78434,
412048,,78467,78433,
412049,,78467,78432,
412050,,78467,78431,
412051,,78467,78430,
412052,,78467,78447,
412053,,78467,78448,
412054,,78467,78449,
412055,,78467,78450,
412056,,78467,78451,
412057,,78467,78452,
412058,,78467,78453,
412059,,78467,78454,
412060,,78467,78455,
412061,,78467,78456,
412062,,78467,78440,
412063,,78467,78463,
412064,,78467,78464,
412065,,78467,78465,
412066,,78467,78438,
412067,,78467,78439,
412068,,78468,78467,
412069,,78468,78468,
412070,,78468,78470,
412071,,78468,78469,
412072,,78468,78445,
412073,,78468,78462,
412074,,78468,78461,
412075,,78468,78460,
412076,,78468,78459,
412077,,78468,78458,
412078,,78468,78457,
412079,,78468,78443,
412080,,78468,78442,
412081,,78468,78441,
412082,,78468,78421,
412083,,78468,78422,
412084,,78468,78423,
412085,,78468,78424,
412086,,78468,78425,
412087,,78468,78426,
412088,,78468,78427,
412089,,78468,78428,
412090,,78468,78429,
412091,,78468,78444,
412092,,78468,78446,
412093,,78468,78437,
412094,,78468,78436,
412095,,78468,78466,
412096,,78468,78435,
412097,,78468,78434,
412098,,78468,78433,
412099,,78468,78432,
412100,,78468,78431,
412101,,78468,78430,
412102,,78468,78447,
412103,,78468,78448,
412104,,78468,78449,
412105,,78468,78450,
412106,,78468,78451,
412107,,78468,78452,
412108,,78468,78453,
412109,,78468,78454,
412110,,78468,78455,
412111,,78468,78456,
412112,,78468,78440,
412113,,78468,78463,
412114,,78468,78464,
412115,,78468,78465,
412116,,78468,78438,
412117,,78468,78439,
412118,,78470,78467,
412119,,78470,78468,
412120,,78470,78470,
412121,,78470,78469,
412122,,78470,78445,
412123,,78470,78462,
412124,,78470,78461,
412125,,78470,78460,
412126,,78470,78459,
412127,,78470,78458,
412128,,78470,78457,
412129,,78470,78443,
412130,,78470,78442,
412131,,78470,78441,
412132,,78470,78421,
412133,,78470,78422,
412134,,78470,78423,
412135,,78470,78424,
412136,,78470,78425,
412137,,78470,78426,
412138,,78470,78427,
412139,,78470,78428,
412140,,78470,78429,
412141,,78470,78444,
412142,,78470,78446,
412143,,78470,78437,
412144,,78470,78436,
412145,,78470,78466,
412146,,78470,78435,
412147,,78470,78434,
412148,,78470,78433,
412149,,78470,78432,
412150,,78470,78431,
412151,,78470,78430,
412152,,78470,78447,
412153,,78470,78448,
412154,,78470,78449,
412155,,78470,78450,
412156,,78470,78451,
412157,,78470,78452,
412158,,78470,78453,
412159,,78470,78454,
412160,,78470,78455,
412161,,78470,78456,
412162,,78470,78440,
412163,,78470,78463,
412164,,78470,78464,
412165,,78470,78465,
412166,,78470,78438,
412167,,78470,78439,
412168,,78469,78467,
412169,,78469,78468,
412170,,78469,78470,
412171,,78469,78469,
412172,,78469,78445,
412173,,78469,78462,
412174,,78469,78461,
412175,,78469,78460,
412176,,78469,78459,
412177,,78469,78458,
412178,,78469,78457,
412179,,78469,78443,
412180,,78469,78442,
412181,,78469,78441,
412182,,78469,78421,
412183,,78469,78422,
412184,,78469,78423,
412185,,78469,78424,
412186,,78469,78425,
412187,,78469,78426,
412188,,78469,78427,
412189,,78469,78428,
412190,,78469,78429,
412191,,78469,78444,
412192,,78469,78446,
412193,,78469,78437,
412194,,78469,78436,
412195,,78469,78466,
412196,,78469,78435,
412197,,78469,78434,
412198,,78469,78433,
412199,,78469,78432,
412200,,78469,78431,
412201,,78469,78430,
412202,,78469,78447,
412203,,78469,78448,
412204,,78469,78449,
412205,,78469,78450,
412206,,78469,78451,
412207,,78469,78452,
412208,,78469,78453,
412209,,78469,78454,
412210,,78469,78455,
412211,,78469,78456,
412212,,78469,78440,
412213,,78469,78463,
412214,,78469,78464,
412215,,78469,78465,
412216,,78469,78438,
412217,,78469,78439,
412218,,78445,78467,
412219,,78445,78468,
412220,,78445,78470,
412221,,78445,78469,
412222,,78445,78445,
412223,,78445,78462,
412224,,78445,78461,
412225,,78445,78460,
412226,,78445,78459,
412227,,78445,78458,
412228,,78445,78457,
412229,,78445,78443,
412230,,78445,78442,
412231,,78445,78441,
412232,,78445,78421,
412233,,78445,78422,
412234,,78445,78423,
412235,,78445,78424,
412236,,78445,78425,
412237,,78445,78426,
412238,,78445,78427,
412239,,78445,78428,
412240,,78445,78429,
412241,,78445,78444,
412242,,78445,78446,
412243,,78445,78437,
412244,,78445,78436,
412245,,78445,78466,
412246,,78445,78435,
412247,,78445,78434,
412248,,78445,78433,
412249,,78445,78432,
412250,,78445,78431,
412251,,78445,78430,
412252,,78445,78447,
412253,,78445,78448,
412254,,78445,78449,
412255,,78445,78450,
412256,,78445,78451,
412257,,78445,78452,
412258,,78445,78453,
412259,,78445,78454,
412260,,78445,78455,
412261,,78445,78456,
412262,,78445,78440,
412263,,78445,78463,
412264,,78445,78464,
412265,,78445,78465,
412266,,78445,78438,
412267,,78445,78439,
412268,,78462,78467,
412269,,78462,78468,
412270,,78462,78470,
412271,,78462,78469,
412272,,78462,78445,
412273,,78462,78462,
412274,,78462,78461,
412275,,78462,78460,
412276,,78462,78459,
412277,,78462,78458,
412278,,78462,78457,
412279,,78462,78443,
412280,,78462,78442,
412281,,78462,78441,
412282,,78462,78421,
412283,,78462,78422,
412284,,78462,78423,
412285,,78462,78424,
412286,,78462,78425,
412287,,78462,78426,
412288,,78462,78427,
412289,,78462,78428,
412290,,78462,78429,
412291,,78462,78444,
412292,,78462,78446,
412293,,78462,78437,
412294,,78462,78436,
412295,,78462,78466,
412296,,78462,78435,
412297,,78462,78434,
412298,,78462,78433,
412299,,78462,78432,
412300,,78462,78431,
412301,,78462,78430,
412302,,78462,78447,
412303,,78462,78448,
412304,,78462,78449,
412305,,78462,78450,
412306,,78462,78451,
412307,,78462,78452,
412308,,78462,78453,
412309,,78462,78454,
412310,,78462,78455,
412311,,78462,78456,
412312,,78462,78440,
412313,,78462,78463,
412314,,78462,78464,
412315,,78462,78465,
412316,,78462,78438,
412317,,78462,78439,
412318,,78461,78467,
412319,,78461,78468,
412320,,78461,78470,
412321,,78461,78469,
412322,,78461,78445,
412323,,78461,78462,
412324,,78461,78461,
412325,,78461,78460,
412326,,78461,78459,
412327,,78461,78458,
412328,,78461,78457,
412329,,78461,78443,
412330,,78461,78442,
412331,,78461,78441,
412332,,78461,78421,
412333,,78461,78422,
412334,,78461,78423,
412335,,78461,78424,
412336,,78461,78425,
412337,,78461,78426,
412338,,78461,78427,
412339,,78461,78428,
412340,,78461,78429,
412341,,78461,78444,
412342,,78461,78446,
412343,,78461,78437,
412344,,78461,78436,
412345,,78461,78466,
412346,,78461,78435,
412347,,78461,78434,
412348,,78461,78433,
412349,,78461,78432,
412350,,78461,78431,
412351,,78461,78430,
412352,,78461,78447,
412353,,78461,78448,
412354,,78461,78449,
412355,,78461,78450,
412356,,78461,78451,
412357,,78461,78452,
412358,,78461,78453,
412359,,78461,78454,
412360,,78461,78455,
412361,,78461,78456,
412362,,78461,78440,
412363,,78461,78463,
412364,,78461,78464,
412365,,78461,78465,
412366,,78461,78438,
412367,,78461,78439,
412368,,78460,78467,
412369,,78460,78468,
412370,,78460,78470,
412371,,78460,78469,
412372,,78460,78445,
412373,,78460,78462,
412374,,78460,78461,
412375,,78460,78460,
412376,,78460,78459,
412377,,78460,78458,
412378,,78460,78457,
412379,,78460,78443,
412380,,78460,78442,
412381,,78460,78441,
412382,,78460,78421,
412383,,78460,78422,
412384,,78460,78423,
412385,,78460,78424,
412386,,78460,78425,
412387,,78460,78426,
412388,,78460,78427,
412389,,78460,78428,
412390,,78460,78429,
412391,,78460,78444,
412392,,78460,78446,
412393,,78460,78437,
412394,,78460,78436,
412395,,78460,78466,
412396,,78460,78435,
412397,,78460,78434,
412398,,78460,78433,
412399,,78460,78432,
412400,,78460,78431,
412401,,78460,78430,
412402,,78460,78447,
412403,,78460,78448,
412404,,78460,78449,
412405,,78460,78450,
412406,,78460,78451,
412407,,78460,78452,
412408,,78460,78453,
412409,,78460,78454,
412410,,78460,78455,
412411,,78460,78456,
412412,,78460,78440,
412413,,78460,78463,
412414,,78460,78464,
412415,,78460,78465,
412416,,78460,78438,
412417,,78460,78439,
412418,,78459,78467,
412419,,78459,78468,
412420,,78459,78470,
412421,,78459,78469,
412422,,78459,78445,
412423,,78459,78462,
412424,,78459,78461,
412425,,78459,78460,
412426,,78459,78459,
412427,,78459,78458,
412428,,78459,78457,
412429,,78459,78443,
412430,,78459,78442,
412431,,78459,78441,
412432,,78459,78421,
412433,,78459,78422,
412434,,78459,78423,
412435,,78459,78424,
412436,,78459,78425,
412437,,78459,78426,
412438,,78459,78427,
412439,,78459,78428,
412440,,78459,78429,
412441,,78459,78444,
412442,,78459,78446,
412443,,78459,78437,
412444,,78459,78436,
412445,,78459,78466,
412446,,78459,78435,
412447,,78459,78434,
412448,,78459,78433,
412449,,78459,78432,
412450,,78459,78431,
412451,,78459,78430,
412452,,78459,78447,
412453,,78459,78448,
412454,,78459,78449,
412455,,78459,78450,
412456,,78459,78451,
412457,,78459,78452,
412458,,78459,78453,
412459,,78459,78454,
412460,,78459,78455,
412461,,78459,78456,
412462,,78459,78440,
412463,,78459,78463,
412464,,78459,78464,
412465,,78459,78465,
412466,,78459,78438,
412467,,78459,78439,
412468,,78458,78467,
412469,,78458,78468,
412470,,78458,78470,
412471,,78458,78469,
412472,,78458,78445,
412473,,78458,78462,
412474,,78458,78461,
412475,,78458,78460,
412476,,78458,78459,
412477,,78458,78458,
412478,,78458,78457,
412479,,78458,78443,
412480,,78458,78442,
412481,,78458,78441,
412482,,78458,78421,
412483,,78458,78422,
412484,,78458,78423,
412485,,78458,78424,
412486,,78458,78425,
412487,,78458,78426,
412488,,78458,78427,
412489,,78458,78428,
412490,,78458,78429,
412491,,78458,78444,
412492,,78458,78446,
412493,,78458,78437,
412494,,78458,78436,
412495,,78458,78466,
412496,,78458,78435,
412497,,78458,78434,
412498,,78458,78433,
412499,,78458,78432,
412500,,78458,78431,
412501,,78458,78430,
412502,,78458,78447,
412503,,78458,78448,
412504,,78458,78449,
412505,,78458,78450,
412506,,78458,78451,
412507,,78458,78452,
412508,,78458,78453,
412509,,78458,78454,
412510,,78458,78455,
