trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1771669,4:59:00,4:59:00,902902,0,,0,0,,1
1771669,5:03:00,5:03:00,902802,1,,0,0,,1
1771669,5:08:00,5:08:00,902702,3,,0,0,,1
1771669,5:12:00,5:12:00,902602,4,,0,0,,1
1771669,5:16:00,5:16:00,902502,5,,0,0,,1
1771669,5:20:00,5:20:00,902402,6,,0,0,,1
1771669,5:24:00,5:24:00,902302,7,Richmond,0,0,,1
1771669,5:27:00,5:28:00,902202,8,Richmond,0,0,,1
1771669,5:32:00,5:32:00,902102,9,Richmond,0,0,,1
1771669,5:35:00,5:35:00,900101,10,Richmond,0,0,,1
1771669,5:36:00,5:37:00,900201,11,Richmond,0,0,,1
1771669,5:40:00,5:41:00,900301,12,Richmond,0,0,,1
1771669,5:44:00,5:44:00,904101,13,Richmond,0,0,,1
1771669,5:46:00,5:47:00,904201,14,Richmond,0,0,,1
1771669,5:49:00,5:49:00,904301,15,Richmond,0,0,,1
1771669,5:52:00,5:52:00,904401,16,Richmond,0,0,,1
1771669,5:55:00,5:55:00,904501,17,Richmond,0,0,,1
1771669,5:59:00,6:02:00,904601,18,Richmond,0,0,,1
1754993,5:59:00,5:59:00,902902,0,,0,0,,1
1754993,6:03:00,6:03:00,902802,1,,0,0,,1
1754993,6:08:00,6:08:00,902702,3,,0,0,,1
1754993,6:12:00,6:12:00,902602,4,,0,0,,1
1754993,6:16:00,6:16:00,902502,5,,0,0,,1
1754993,6:20:00,6:20:00,902402,6,,0,0,,1
1754993,6:24:00,6:24:00,902302,7,Richmond,0,0,,1
1754993,6:27:00,6:28:00,902202,8,Richmond,0,0,,1
1754993,6:32:00,6:32:00,902102,9,Richmond,0,0,,1
1754993,6:35:00,6:35:00,900101,10,Richmond,0,0,,1
1754993,6:36:00,6:37:00,900201,11,Richmond,0,0,,1
1754993,6:40:00,6:41:00,900301,12,Richmond,0,0,,1
1754993,6:44:00,6:44:00,904101,13,Richmond,0,0,,1
1754993,6:46:00,6:47:00,904201,14,Richmond,0,0,,1
1754993,6:49:00,6:49:00,904301,15,Richmond,0,0,,1
1754993,6:52:00,6:52:00,904401,16,Richmond,0,0,,1
1754993,6:55:00,6:55:00,904501,17,Richmond,0,0,,1
1754993,6:59:00,7:02:00,904601,18,Richmond,0,0,,1
1759666,7:59:00,7:59:00,902902,0,,0,0,,1
1759666,8:03:00,8:03:00,902802,1,,0,0,,1
1759666,8:08:00,8:08:00,902702,3,,0,0,,1
