stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
900103,900103,12th Street / Oakland City Center,37.803508,-122.271694,78441,,,0,900109,,,3
900102,900102,12th Street / Oakland City Center,37.803471,-122.271589,78441,,,0,900109,,,2
900101,900101,12th Street / Oakland City Center,37.803463,-122.271596,78441,,,0,900109,,,1
900109,900109,12th Street / Oakland City Center,37.803482,-122.27163,78441,,,1,,,,
901501,901501,16th Street / Mission,37.765176,-122.419755,78452,,,0,901509,,,1
901502,901502,16th Street / Mission,37.76518,-122.419679,78452,,,0,901509,,,2
901509,901509,16th Street / Mission,37.765173,-122.419704,78452,,,1,,,,
900209,900209,19th Street Oakland,37.808078,-122.268758,78442,,,1,,,,
900203,900203,19th Street Oakland,37.808105,-122.268821,78442,,,0,900209,,,3
900202,900202,19th Street Oakland,37.80806,-122.268722,78442,,,0,900209,,,2
900201,900201,19th Street Oakland,37.808065,-122.26872,78442,,,0,900209,,,1
901609,901609,24th Street / Mission,37.752419,-122.418468,78453,,,1,,,,
901601,901601,24th Street / Mission,37.752422,-122.418518,78453,,,0,901609,,,1
901602,901602,24th Street / Mission,37.752426,-122.418445,78453,,,0,901609,,,2
WDUB_1,WDUB_1,6501 Golden Gate Dr Entrance / Exit,37.6999193,-121.9278887,78421,6501 Golden Gate Dr Entrance / Exit,,2,905209,,,
COLS_1,COLS_1,71st Ave Entrance / Exit,37.75426882,-122.1966931,78421,71st Ave Entrance / Exit,,2,902309,,,
12TH_5,12TH_5,A1 12th St and Broadway Entrance / Exit,37.80248356,-122.2725163,78421,A1 12th St and Broadway Entrance / Exit,,2,900109,,,
19TH_2,19TH_2,A1 17th and Broaddway Entrance / Exit,37.80728171,-122.269788,78421,A1 17th and Broaddway Entrance / Exit,,2,900209,,,
16TH_1,16TH_1,A 16TH & Mission SW Entrance / Exit,37.76474212,-122.4200446,78421,A 16TH & Mission SW Entrance / Exit,,2,901509,,,
POWL_7,POWL_7,A1 899 Market St Entrance / Exit,37.78456741,-122.4077827,78421,A1 899 Market St Entrance / Exit,,2,901309,,,
BALB_2,BALB_2,A1 Geneva Ave Entrance / Exit,37.72081894,-122.4476262,78421,A1 Geneva Ave Entrance / Exit,,2,901809,,,
EMBR_2,EMBR_2,A1 Market & Drumm Street (NE) Entrance / Exit,37.79367441,-122.3960289,78421,A1 Market & Drumm Street (NE) Entrance / Exit,,2,901169,,,
MONT_1,MONT_1,A1 Market & Post Street (NW) Entrance / Exit,37.78892431,-122.4021896,78421,A1 Market & Post Street (NW) Entrance / Exit,,2,901209,,,
LAKE_4,LAKE_4,A1 NE Chinatown Entrance / Exit,37.79759997,-122.265533,78421,A1 NE Chinatown Entrance / Exit,,2,902109,,,
DBRK_4,DBRK_4,A1 Shattuck Ave & Addison Street (East) Entrance / Exit,37.87101374,-122.2681421,78421,A1 Shattuck Ave & Addison Street (East) Entrance / Exit,,2,904209,,,
12TH_2,12TH_2,A2 13th St and Broadway Entrance / Exit,37.80340744,-122.2719304,78421,A2 13th St and Broadway Entrance / Exit,,2,900109,,,
19TH_3,19TH_3,A2 20th and Broadway Entrance / Exit,37.80885915,-122.2684978,78421,A2 20th and Broadway Entrance / Exit,,2,900209,,,
24TH_3,24TH_3,A 24TH & Mission SW Entrance / Exit,37.75194137,-122.4188268,78421,A 24TH & Mission SW Entrance / Exit,,2,901609,,,
BALB_1,BALB_1,A2 John F Foran Fwy (Ramp) Entrance / Exit,37.72197903,-122.4475126,78421,A2 John F Foran Fwy (Ramp) Entrance / Exit,,2,901809,,,
EMBR_3,EMBR_3,A2 Market & Davis Street (North) Entrance / Exit,37.79289056,-122.397023,78421,A2 Market & Davis Street (North) Entrance / Exit,,2,901169,,,
MONT_3,MONT_3,A2 Market & Montgomery Street (NE) Entrance / Exit,37.78918435,-122.4017634,78421,A2 Market & Montgomery Street (NE) Entrance / Exit,,2,901209,,,
POWL_4,POWL_4,A2 Market Street & Ellis Street Entrance / Exit,37.78543666,-122.4064398,78421,A2 Market Street & Ellis Street Entrance / Exit,,2,901309,,,
CIVC_6,CIVC_6,A2 Market Street & Hyde Street (SW) Entrance / Exit,37.77895821,-122.4146697,78421,A2 Market Street & Hyde Street (SW) Entrance / Exit,,2,901409,,,
LAKE_3,LAKE_3,A2 SE 9th & Oak St Entrance / Exit,37.79738915,-122.2648327,78421,A2 SE 9th & Oak St Entrance / Exit,,2,902109,,,
DBRK_2,DBRK_2,A2 Shattuck Ave & Allston Way (East) Entrance / Exit,37.8697081,-122.2677677,78421,A2 Shattuck Ave & Allston Way (East) Entrance / Exit,,2,904209,,,
CIVC_2,CIVC_2,A3 1150 Market Street - UN Plaza Stairs Entrance / Exit,37.77975984,-122.4142508,78421,A3 1150 Market Street - UN Plaza Stairs Entrance / Exit,,2,901409,,,
EMBR_5,EMBR_5,A3 Market Street & Front Street (NW) Entrance / Exit,37.79220331,-122.3978967,78421,A3 Market Street & Front Street (NW) Entrance / Exit,,2,901169,,,
12TH_4,12TH_4,A3 Oakland City Center Entrance / Exit,37.80382846,-122.2718747,78421,A3 Oakland City Center Entrance / Exit,,2,900109,,,
POWL_3,POWL_3,A3 Stockton Street Entrance / Exit,37.78586895,-122.4063542,78421,A3 Stockton Street Entrance / Exit,,2,901309,,,
MONT_5,MONT_5,A3 Sutter Street Entrance / Exit,37.78995495,-122.4007242,78421,A3 Sutter Street Entrance / Exit,,2,901209,,,
12TH_7,12TH_7,A4 Frank Ogawa Plaza Entrance / Exit,37.80476886,-122.2713179,78421,A4 Frank Ogawa Plaza Entrance / Exit,,2,900109,,,
POWL_1,POWL_1,A4 Market Street & 4th Street (NE) Entrance / Exit,37.78603787,-122.4056644,78421,A4 Market Street & 4th Street (NE) Entrance / Exit,,2,901309,,,
CIVC_4,CIVC_4,A4 Market Street & 7th Street (NW) Entrance / Exit,37.78035552,-122.4129008,78421,A4 Market Street & 7th Street (NW) Entrance / Exit,,2,901409,,,
MONT_6,MONT_6,A4 Sansome Street Entrance / Exit,37.79050805,-122.4007031,78421,A4 Sansome Street Entrance / Exit,,2,901209,,,
ASHB_2,ASHB_2,Adeline Street East Entrance / Exit Elevator,37.85275725,-122.2695656,78421,Adeline Street East Entrance / Exit Elevator,,2,904109,,,
ASHB_1,ASHB_1,Adeline Street East Entrance / Exit Stairs,37.85239669,-122.2696952,78421,Adeline Street East Entrance / Exit Stairs,,2,904109,,,
ASHB_3,ASHB_3,Adeline Street West Entrance / Exit,37.85280991,-122.2700392,78421,Adeline Street West Entrance / Exit,,2,904109,,,
LAFY_1,LAFY_1,A Entrance / Exit,37.89353551,-122.1246527,78421,A Entrance / Exit,,2,903309,,,
DALY_1,DALY_1,"A John Daly, Junipero Serra Blvd Entrance / Exit",37.70613241,-122.4690221,78421,"A John Daly, Junipero Serra Blvd Entrance / Exit",,2,901909,,,
RICH_2,RICH_2,A Marina Way / 16th St Entrance / Exit,37.93686306,-122.3541695,78421,A Marina Way / 16th St Entrance / Exit,,2,904609,,,
908302,908302,Antioch,37.995415,-121.780353,78439,,,0,908309,,,2
908309,908309,Antioch,37.995373,-121.780346,78439,,,1,,,,
908301,908301,Antioch,37.995343,-121.780373,78439,,,0,908309,,,1
904109,904109,Ashby,37.853072,-122.269771,78457,,,1,,,,
904102,904102,Ashby,37.853087,-122.269819,78457,,,0,904109,,,2
904101,904101,Ashby,37.853069,-122.26975,78457,,,0,904109,,,1
12TH_6,12TH_6,B1 12th St and Broadway Entrance / Exit,37.80239156,-122.2722823,78421,B1 12th St and Broadway Entrance / Exit,,2,900109,,,
19TH_6,19TH_6,B1 17th and Broadway Entrance / Exit,37.806916,-122.2694517,78421,B1 17th and Broadway Entrance / Exit,,2,900209,,,
MONT_2,MONT_2,B1 598 Market St (SW) Entrance / Exit,37.78854856,-122.4021594,78421,B1 598 Market St (SW) Entrance / Exit,,2,901209,,,
16TH_2,16TH_2,B 16TH & Mission NE Entrance / Exit,37.76527921,-122.4193381,78421,B 16TH & Mission NE Entrance / Exit,,2,901509,,,
RICH_1,RICH_1,B 19th Street / Civic Center Entrance / Exit,37.93684597,-122.3530094,78421,B 19th Street / Civic Center Entrance / Exit,,2,904609,,,
BALB_3,BALB_3,B1 Geneva Ave Entrance / Exit,37.72118206,-122.4473426,78421,B1 Geneva Ave Entrance / Exit,,2,901809,,,
EMBR_1,EMBR_1,B1 Market & Spear Street (SE) Entrance / Exit,37.79352792,-122.3958486,78421,B1 Market & Spear Street (SE) Entrance / Exit,,2,901169,,,
POWL_8,POWL_8,B1 Market Street & 5th Street Entrance / Exit,37.78372018,-122.4082722,78421,B1 Market Street & 5th Street Entrance / Exit,,2,901309,,,
LAKE_1,LAKE_1,B1 NW 8th & Oak St Jack London Sq Entrance / Exit,37.79711347,-122.265587,78421,B1 NW 8th & Oak St Jack London Sq Entrance / Exit,,2,902109,,,
DBRK_3,DBRK_3,B1 Shattuck Ave & Addison Street (West) Entrance / Exit,37.87100652,-122.2683743,78421,B1 Shattuck Ave & Addison Street (West) Entrance / Exit,,2,904209,,,
12TH_1,12TH_1,B2 13th St and Broadway Entrance / Exit,37.80331574,-122.2717025,78421,B2 13th St and Broadway Entrance / Exit,,2,900109,,,
19TH_1,19TH_1,B2 19th and Broadway Entrance / Exit,37.80752258,-122.2690768,78421,B2 19th and Broadway Entrance / Exit,,2,900209,,,
24TH_2,24TH_2,B 24TH & Mission NE Entrance / Exit,37.7524837,-122.4181116,78421,B 24TH & Mission NE Entrance / Exit,,2,901609,,,
BALB_5,BALB_5,B2 (Elevator) Geneva Ave Entrance / Exit,37.72123959,-122.4475837,78421,B2 (Elevator) Geneva Ave Entrance / Exit,,2,901809,,,
MONT_4,MONT_4,B2 Market & 2nd Street (South) Entrance / Exit,37.78941195,-122.4010512,78421,B2 Market & 2nd Street (South) Entrance / Exit,,2,901209,,,
POWL_6,POWL_6,B2 Market Street & 5th Street (NE) Entrance / Exit,37.78438523,-122.4074231,78421,B2 Market Street & 5th Street (NE) Entrance / Exit,,2,901309,,,
CIVC_7,CIVC_7,B2 Market Street & 8th Street (SE) Entrance / Exit,37.77881552,-122.4144769,78421,B2 Market Street & 8th Street (SE) Entrance / Exit,,2,901409,,,
EMBR_4,EMBR_4,B2 Market Street & Main Street (South) Entrance / Exit,37.79289735,-122.3966319,78421,B2 Market Street & Main Street (South) Entrance / Exit,,2,901169,,,
LAKE_2,LAKE_2,"B2 SW 8th St, Laney College Entrance / Exit",37.79707173,-122.265164,78421,"B2 SW 8th St, Laney College Entrance / Exit",,2,902109,,,
CIVC_3,CIVC_3,B3 1150 Market Street Entrance / Exit,37.77952637,-122.4135636,78421,B3 1150 Market Street Entrance / Exit,,2,901409,,,
12TH_3,12TH_3,B3 13th St and Broadway Entrance / Exit,37.80389985,-122.2713377,78421,B3 13th St and Broadway Entrance / Exit,,2,900109,,,
19TH_5,19TH_5,B3 19th and Broadway Entrance / Exit,37.80841601,-122.2685175,78421,B3 19th and Broadway Entrance / Exit,,2,900209,,,
MONT_7,MONT_7,B3 575 Market St (SE) Entrance / Exit,37.78982095,-122.4005212,78421,B3 575 Market St (SE) Entrance / Exit,,2,901209,,,
DBRK_5,DBRK_5,B3 DBRK Entrance / Exit,37.8700978,-122.2682197,78421,B3 DBRK Entrance / Exit,,2,904209,,,
BALB_4,BALB_4,B3 Geneva Ave Entrance / Exit,37.72132864,-122.4473897,78421,B3 Geneva Ave Entrance / Exit,,2,901809,,,
POWL_5,POWL_5,B3 Market Street & 4th Street (South) Entrance / Exit,37.78526132,-122.4063142,78421,B3 Market Street & 4th Street (South) Entrance / Exit,,2,901309,,,
EMBR_6,EMBR_6,B3 Market Street & Fremont Street (SW) Entrance / Exit,37.79207678,-122.3976569,78421,B3 Market Street & Fremont Street (SW) Entrance / Exit,,2,901169,,,
12TH_8,12TH_8,B4 14th St and Broadway Entrance / Exit,37.80425355,-122.2708022,78421,B4 14th St and Broadway Entrance / Exit,,2,900109,,,
19TH_4,19TH_4,B4 20th and Broadway Entrance / Exit,37.80897507,-122.2678594,78421,B4 20th and Broadway Entrance / Exit,,2,900209,,,
BALB_6,BALB_6,B4 John F Foran Fwy (Ramp) Entrance / Exit,37.72195895,-122.4473271,78421,B4 John F Foran Fwy (Ramp) Entrance / Exit,,2,901809,,,
POWL_2,POWL_2,B4 Market Street & 4th Street (SE) Entrance / Exit,37.78590866,-122.4055202,78421,B4 Market Street & 4th Street (SE) Entrance / Exit,,2,901309,,,
CIVC_5,CIVC_5,B4 Market Street & 7th Street (NE) Entrance / Exit,37.78013738,-122.4128003,78421,B4 Market Street & 7th Street (NE) Entrance / Exit,,2,901409,,,
DBRK_1,DBRK_1,B4 Shattuck Ave & Allston Way (West) Entrance / Exit,37.86949729,-122.2681859,78421,B4 Shattuck Ave & Allston Way (West) Entrance / Exit,,2,904209,,,
901802,901802,Balboa Park,37.721748,-122.447433,78455,,,0,901809,,,2
901801,901801,Balboa Park,37.721758,-122.44751,78455,,,0,901809,,,1
901809,901809,Balboa Park,37.721747,-122.447457,78455,,,1,,,,
902501,902501,Bay Fair,37.696887,-122.126488,78425,,,0,902509,,,1
902509,902509,Bay Fair,37.696908,-122.126446,78425,,,1,,,,
902502,902502,Bay Fair,37.696938,-122.126431,78425,,,0,902509,,,2
DALY_3,DALY_3,"B De Long St, St Charles Ave Entrance / Exit",37.7065093,-122.4687172,78421,"B De Long St, St Charles Ave Entrance / Exit",,2,901909,,,
LAFY_2,LAFY_2,B Entrance / Exit,37.89284914,-122.1245266,78421,B Entrance / Exit,,2,903309,,,
909501,909501,Berryessa / North San Jose,37.368474,-121.874759,78465,,,0,909509,,,1
909502,909502,Berryessa / North San Jose,37.368495,-121.874661,78465,,,0,909509,,,2
909509,909509,Berryessa / North San Jose,37.368473,-121.874681,78465,,,1,,,,
905101,905101,Castro Valley,37.690708,-122.075614,78444,,,0,905109,,,1
905102,905102,Castro Valley,37.690776,-122.075615,78444,,,0,905109,,,2
905109,905109,Castro Valley,37.690737,-122.075601,78444,,,1,,,,
901409,901409,Civic Center / UN Plaza,37.779408,-122.413826,78451,,,1,,,,
