from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
900203,900201,2,30,Yellow-N,Orange-N,,
900201,900203,2,30,Orange-N,Yellow-N,,
900302,900304,2,30,Orange-S,Yellow-S,,
900304,900302,2,30,Yellow-S,Orange-S,,
900301,900304,2,120,Red-N,Yellow-S,,
900301,900304,2,120,Orange-N,Yellow-S,,
900304,900301,2,120,Yellow-S,Red-N,,
900304,900301,2,120,Yellow-S,Orange-N,,
900302,900303,2,120,Red-S,Yellow-N,,
900302,900303,2,120,Orange-S,Yellow-N,,
900303,900302,2,120,Yellow-N,Red-S,,
900303,900302,2,120,Yellow-N,Orange-S,,
900201,900202,2,120,Orange-N,Yellow-S,,
900101,900102,2,30,Orange-N,Red-S,,
901101,901102,2,120,Blue-S,Yellow-N,,
904601,904601,2,60,,,,
902303,902301,2,240,,,,
902303,902302,2,240,,,,
902301,902303,2,240,,,,
902302,902303,2,240,,,,
902502,902501,2,0,,,,
902502,902502,2,0,,,,
902501,902501,2,0,,,,
902501,902502,2,0,,,,
901801,901801,2,60,,,,
901802,901802,2,60,,,,
907101,907102,2,60,,,,
907102,907101,2,60,,,,
903102,903101,2,20,,,,
903101,903102,2,20,,,,
903602,903602,2,60,Yellow-S,BridgeB,,
903402,903401,2,60,BridgeB,Yellow-S,,
903401,903401,2,60,Yellow-N,BridgeA,,
903601,903601,2,60,BridgeA,Yellow-N,,
